Municipio,Municipio_id,Departamento,Departamento_id
URIBIA,44847,LA GUAJIRA,44
MANAURE,44560,LA GUAJIRA,44
MAICAO,44430,LA GUAJIRA,44
RIOHACHA,44001,LA GUAJIRA,44
DIBULLA,44090,LA GUAJIRA,44
SANTA MARTA,47001,MAGDALENA,47
HATONUEVO,44378,LA GUAJIRA,44
BARRANCAS,44078,LA GUAJIRA,44
CIENAGA,47189,MAGDALENA,47
BARRANQUILLA,08001,ATLANTICO,08
SITIONUEVO,47745,MAGDALENA,47
PUERTO COLOMBIA,08573,ATLANTICO,08
DISTRACCION,44098,LA GUAJIRA,44
FONSECA,44279,LA GUAJIRA,44
SAN JUAN DEL CESAR,44650,LA GUAJIRA,44
PUEBLOVIEJO,47570,MAGDALENA,47
TUBARA,08832,ATLANTICO,08
GALAPA,08296,ATLANTICO,08
SOLEDAD,08758,ATLANTICO,08
MALAMBO,08433,ATLANTICO,08
JUAN DE ACOSTA,08372,ATLANTICO,08
VALLEDUPAR,20001,CESAR,20
ARACATACA,47053,MAGDALENA,47
BARANOA,08078,ATLANTICO,08
SABANAGRANDE,08634,ATLANTICO,08
POLONUEVO,08558,ATLANTICO,08
PIOJO,08549,ATLANTICO,08
USIACURI,08849,ATLANTICO,08
SANTA CATALINA,13673,BOLIVAR,13
SANTO TOMAS,08685,ATLANTICO,08
PALMAR DE VARELA,08520,ATLANTICO,08
EL RETEN,47268,MAGDALENA,47
REMOLINO,47605,MAGDALENA,47
SABANALARGA,08638,ATLANTICO,08
PONEDERA,08560,ATLANTICO,08
LURUACO,08421,ATLANTICO,08
CARTAGENA,13001,BOLIVAR,13
PUEBLO BELLO,20570,CESAR,20
PIVIJAY,47551,MAGDALENA,47
VILLANUEVA,44874,LA GUAJIRA,44
EL MOLINO,44110,LA GUAJIRA,44
FUNDACION,47288,MAGDALENA,47
CLEMENCIA,13222,BOLIVAR,13
REPELON,08606,ATLANTICO,08
SALAMINA,47675,MAGDALENA,47
CANDELARIA,08141,ATLANTICO,08
URUMITA,44855,LA GUAJIRA,44
MANATI,08436,ATLANTICO,08
SANTA ROSA,13683,BOLIVAR,13
VILLANUEVA,13873,BOLIVAR,13
EL PIÂ¥ON,47258,MAGDALENA,47
CAMPO DE LA CRUZ,08137,ATLANTICO,08
LA PAZ,20621,CESAR,20
SAN ESTANISLAO,13647,BOLIVAR,13
MANAURE,20443,CESAR,20
SOPLAVIENTO,13760,BOLIVAR,13
SAN CRISTOBAL,13620,BOLIVAR,13
TURBACO,13836,BOLIVAR,13
EL COPEY,20238,CESAR,20
SANTA LUCIA,08675,ATLANTICO,08
CERRO SAN ANTONIO,47161,MAGDALENA,47
CALAMAR,13140,BOLIVAR,13
SAN DIEGO,20750,CESAR,20
SUAN,08770,ATLANTICO,08
ARJONA,13052,BOLIVAR,13
MAHATES,13433,BOLIVAR,13
TURBANA,13838,BOLIVAR,13
PEDRAZA,47541,MAGDALENA,47
CHIVOLO,47170,MAGDALENA,47
AGUSTIN CODAZZI,20013,CESAR,20
EL GUAMO,13248,BOLIVAR,13
SAN ONOFRE,70713,SUCRE,70
SAN JUAN NEPOMUCENO,13657,BOLIVAR,13
MARIA LA BAJA,13442,BOLIVAR,13
BOSCONIA,20060,CESAR,20
TENERIFE,47798,MAGDALENA,47
PLATO,47555,MAGDALENA,47
ARIGUAINI,47058,MAGDALENA,47
BECERRIL,20045,CESAR,20
SAN JACINTO,13654,BOLIVAR,13
EL CARMEN DE BOLIVAR,13244,BOLIVAR,13
EL PASO,20250,CESAR,20
ZAMBRANO,13894,BOLIVAR,13
SANTA ANA,47707,MAGDALENA,47
PIJIÂ¥O DEL CARMEN,47545,MAGDALENA,47
OVEJAS,70508,SUCRE,70
LA JAGUA DE IBIRICO,20400,CESAR,20
